,title,star,review,Cleaned
10,mohammad,4.0,سلامی به زیبایی گل بهار خدمت دوستان سحر خیزم خواستم عکس های 33پل رو باهاتون به اشتراک بزارم امید وارم خوشتون بیاد,سلامی به زیبایی گل بهار خدمت دوستان سحر خیزم خواستم عکس های 33پل رو باهاتون به اشتراک بزارم امید وارم خوشتون بیاد
11,سید محمد حسینی,3.0,از نظر تاریخی واقعا جای محشریه بینظیره .ولی اگه میشد که رودخانه همیشه آب داشته باشه عالی میشه . اصفهان بدون زاینده رود میمیره . و اینکه کاش بچه ها به این سطح از فرهنگ برسن که مزاحم دختر های مردم حد اقل توی این آثار تاریخی نشن,از نظر تاریخی واقعا جای محشریه بینظیره ولی اگه میشد که رودخانه همیشه آب داشته باشه عالی میشه اصفهان بدون زاینده رود میمیره و اینکه کاش بچه ها به این سطح از فرهنگ برسن که مزاحم دختر های مردم حد اقل توی این آثار تاریخی نشن
12,hiwa dehghan,4.0,سی‌وسه‌پل یا پل الله‌وردی‌خان، پلی است با ۳۳ دهانه، ۲۹۵ متر طول و ۱۴ متر عرض، که زیرنظر الله‌وردی‌خان اوندیلادزه و با معماری استاد حسین بنا اصفهانی بر روی زاینده‌رود در شهر اصفهان و همزمان با حکومت شاه عباس صفوی ساخته شده و جای برگزاری مراسم جشن آب‌پاشان و همچنین مراسم خاج‌شویان ارامنهٔ اصفهان در دورهٔ صفویه بوده‌است. اندیشهٔ بنای سی‌وسه‌پل در سال ۱۰۰۸ هجری قمری و در دوازدهمین سال پادشاهی شاه عباس یکم به وجود آمد و در سال ۱۰۱۱ هجری قمری، الله‌وردی‌خان اوندیلادزه گرجی، سردار مشهور او مأمور اتمام ساختمان پل گردید. در سفرنامه‌های سیاحان اروپایی آن دوران، به برگزاری این جشن اشاره‌هایی شده‌است. در این جشن که در ۱۳ تیرماه هر سال برگزار می‌شد مردم با پاشیدن آب و گلاب روی یک‌دیگر در این مراسم شرکت می‌کرده‌اند. ارامنهٔ جلفای اصفهان هم مراسم خاج شویان خود را در محدوده همین پل برگزار می‌کرده‌اند. این پل یکی از شاه‌کارهای معماری و پل‌سازی ایران محسوب می‌شود و از زیبایی و عظمت منحصر به فردی برخودار است. ,سی‌وسه‌پل یا پل الله‌وردی‌خان پلی است با 33 دهانه 295 متر طول و 14 متر عرض که زیرنظر الله‌وردی‌خان اوندیلادزه و با معماری استاد حسین بنا اصفهانی بر روی زاینده‌رود در شهر اصفهان و همزمان با حکومت شاه عباس صفوی ساخته شده و جای برگزاری مراسم جشن آب‌پاشان و همچنین مراسم خاج‌شویان ارامنهٔ اصفهان در دورهٔ صفویه بوده‌است اندیشهٔ بنای سی‌وسه‌پل در سال 1008 هجری قمری و در دوازدهمین سال پادشاهی شاه عباس یکم به وجود آمد و در سال 1011 هجری قمری الله‌وردی‌خان اوندیلادزه گرجی سردار مشهور او مامور اتمام ساختمان پل گردید در سفرنامه‌های سیاحان اروپایی آن دوران به برگزاری این جشن اشاره‌هایی شده‌است در این جشن که در 13 تیرماه هر سال برگزار می‌شد مردم با پاشیدن آب و گلاب روی یک‌دیگر در این مراسم شرکت می‌کرده‌اند ارامنهٔ جلفای اصفهان هم مراسم خاج شویان خود را در محدوده همین پل برگزار می‌کرده‌اند این پل یکی از شاه‌کارهای معماری و پل‌سازی ایران محسوب می‌شود و از زیبایی و عظمت منحصر به فردی برخودار است 
13,bilvak,2.0,یه زمانی اینجوری بود نه مثل الان که مث بیابون خشک شده :( از ما ست که بر ما ست...,یه زمانی اینجوری بود نه مثل الان که مث بیابون خشک شده از ما ست که بر ما ست 
14,sobhan,3.0,سه و سه پل اصفهان. بسیار زیباست. ای کاش همیشه آب در زیر این پل جاری میبود.,سه و سه پل اصفهان بسیار زیباست ای کاش همیشه آب در زیر این پل جاری میبود 
15,Amirhossein Bahreininejad,4.0,بسیار زیبا و آرام بخش...,بسیار زیبا و آرام بخش 
16,Ali heidari,4.0,سی‌وسه‌پل یا پل الله‌وردی خان، یکی از پل‌های تاریخی استان اصفهان است که طول آن برابر با ۲۹۵ متر است. این پل به دستور الله‌وردی خان اوندیلادزه روی زاینده‌رود ساخته شد. سی‌وسه‌ پل یکی از آثار تاریخی استان اصفهان است که بسیاری از ما این شهر زیبا را با این پل تاریخی‌اش می‌شناسیم. اگرچه امروز با خشک شدن آب زاینده‌رود، سی‌وسه‌پل هم دیگر حال و هوای گذشته را ندارد، ولی این پل همچنان به‌عنوان یکی از نمادهای شهر اصفهان شناخته می‌شود. سی سه پل یا پل الله‌وردی خان در عصر صفوی به دست الله‌وردی خان اوندیلادزه روی زاینده رو ساخته شد. این پل ۳۳ دهانه، ۲۹۵ متر طول و ۱۴ متر عرض دارد و منعکس شدن تصویر پل در آب زیبایی آن را دوچندان می‌کند.,سی‌وسه‌پل یا پل الله‌وردی خان یکی از پل‌های تاریخی استان اصفهان است که طول آن برابر با 295 متر است این پل به دستور الله‌وردی خان اوندیلادزه روی زاینده‌رود ساخته شد سی‌وسه‌ پل یکی از آثار تاریخی استان اصفهان است که بسیاری از ما این شهر زیبا را با این پل تاریخی‌اش می‌شناسیم اگرچه امروز با خشک شدن آب زاینده‌رود سی‌وسه‌پل هم دیگر حال و هوای گذشته را ندارد ولی این پل همچنان به‌عنوان یکی از نمادهای شهر اصفهان شناخته می‌شود سی سه پل یا پل الله‌وردی خان در عصر صفوی به دست الله‌وردی خان اوندیلادزه روی زاینده رو ساخته شد این پل 33 دهانه 295 متر طول و 14 متر عرض دارد و منعکس شدن تصویر پل در آب زیبایی آن را دوچندان می‌کند 
17,Farshid ,4.0,سی‌وسه‌پل یا پل الله‌وردی‌خان، پلی است با ۳۳ دهانه، ۲۹۵ متر طول و ۱۴ متر عرض، که زیرنظر الله‌وردی‌خان اوندیلادزه و با معماری استاد حسین بنا اصفهانی[۱]بر روی زاینده‌رود در شهر اصفهان و همزمان با حکومت شاه عباس صفوی ساخته شده و جای برگزاری مراسم جشن آب‌پاشان و همچنین مراسم خاج‌شویان ارامنهٔ اصفهان در دورهٔ صفویه بوده‌است,سی‌وسه‌پل یا پل الله‌وردی‌خان پلی است با 33 دهانه 295 متر طول و 14 متر عرض که زیرنظر الله‌وردی‌خان اوندیلادزه و با معماری استاد حسین بنا اصفهانی 1 بر روی زاینده‌رود در شهر اصفهان و همزمان با حکومت شاه عباس صفوی ساخته شده و جای برگزاری مراسم جشن آب‌پاشان و همچنین مراسم خاج‌شویان ارامنهٔ اصفهان در دورهٔ صفویه بوده‌است
18,Sahand Abr,3.0,ه پل خیلی قدیمی از زمان صفویان روی رودخانه زاینده رود، که البته الان ممکنه روی دشت زاینده رود باشه با این وضعیت آب، پل معماری خاصی نداره، از این نظر پل خاجو بسیار زیباتر هست، سی و سه پل اما گذر افراد مختلف و وصل کننده خیابان چهارباغ هست و از این رو مکانی هست که شما همه آدمها را با ظاهر ها و سلیقه های مختلف و حال و احوال های مختلف می تونید اونجا تماشا کنید، برای خود من بیشتر از خود پل عابرین زیبان ، البته به عنوان اصفهانی شاید سی و سه پل برام عادی شده باشه.,ه پل خیلی قدیمی از زمان صفویان روی رودخانه زاینده رود که البته الان ممکنه روی دشت زاینده رود باشه با این وضعیت آب پل معماری خاصی نداره از این نظر پل خاجو بسیار زیباتر هست سی و سه پل اما گذر افراد مختلف و وصل کننده خیابان چهارباغ هست و از این رو مکانی هست که شما همه آدمها را با ظاهر ها و سلیقه های مختلف و حال و احوال های مختلف می تونید اونجا تماشا کنید برای خود من بیشتر از خود پل عابرین زیبان البته به عنوان اصفهانی شاید سی و سه پل برام عادی شده باشه 
19,Ali Yazdani,4.0,پل الله وردی خان، معروف به سی و سه پل که دارای سی و سه دهنه بوده برای تقسیم آب، الان هم کشت نوروزه شرق اصفهان باز شده ، بسیاری مهمان به شهرمان آمدن ، از زیبایی های بصری این پل زیبای تاریخی لذت میبرند,پل الله وردی خان معروف به سی و سه پل که دارای سی و سه دهنه بوده برای تقسیم آب الان هم کشت نوروزه شرق اصفهان باز شده بسیاری مهمان به شهرمان آمدن از زیبایی های بصری این پل زیبای تاریخی لذت میبرند
20,Mohammadreza Moradi,5.0,سی‌وسه‌پل یا پل الله‌وردی‌خان، پلی است با ۳۳ دهانه، ۲۹۵ متر طول و ۱۴ متر عرض، که زیرنظر الله‌وردی‌خان اوندیلادزه و با معماری استاد حسین بنا اصفهانیبر روی زاینده‌رود در شهر اصفهان و همزمان با حکومت شاه عباس صفوی ساخته شده و جای برگزاری مراسم جشن آب‌پاشان و همچنین مراسم خاج‌شویان ارامنهٔ اصفهان در دورهٔ صفویه بوده‌است.,سی‌وسه‌پل یا پل الله‌وردی‌خان پلی است با 33 دهانه 295 متر طول و 14 متر عرض که زیرنظر الله‌وردی‌خان اوندیلادزه و با معماری استاد حسین بنا اصفهانیبر روی زاینده‌رود در شهر اصفهان و همزمان با حکومت شاه عباس صفوی ساخته شده و جای برگزاری مراسم جشن آب‌پاشان و همچنین مراسم خاج‌شویان ارامنهٔ اصفهان در دورهٔ صفویه بوده‌است 
21,arash,5.0,یکی از بهترین جاهایی که می تونید تو اصفهان ببینید اینجاست. مخصوصا شبا خیلی خوشگل و قدم زدنیه,یکی از بهترین جاهایی که می تونید تو اصفهان ببینید اینجاست مخصوصا شبا خیلی خوشگل و قدم زدنیه
22,Morteza Maghzi,5.0,یکی از زیباترین نقاط اصفهان مخصوصا برای شب نشینی ,یکی از زیباترین نقاط اصفهان مخصوصا برای شب نشینی
23,Soheil Moradi,2.0,سی و سه پل اصفهان ، به اندازه ی کافی شهرت دارد نمیتوان چیزی اضافه کرد!! بی نظیر و فوق العاده زیبا. تنها مورد منفی ، زاینده رود است که متاسفانه به علت بی تدبیری و وجود سدهای متعدد، خشک شده است,سی و سه پل اصفهان به اندازه ی کافی شهرت دارد نمیتوان چیزی اضافه کرد بی نظیر و فوق العاده زیبا تنها مورد منفی زاینده رود است که متاسفانه به علت بی تدبیری و وجود سدهای متعدد خشک شده است
24,Sima Shahbazi,4.0,عالی بود ارامش بخش و باصفا,عالی بود ارامش بخش و باصفا
25,Reza A,1.0,واقعا ناراحت کننده بود که این پل زیبا ورودخانه زاینده رود خشک خشک و بدون قطره ای آب بود.,واقعا ناراحت کننده بود که این پل زیبا ورودخانه زاینده رود خشک خشک و بدون قطره ای آب بود 
26,Seyed Mosavi,3.0,چشمه بسیار زیبایی ست ، مسیر خاکی تقریبا طولانی دارد,چشمه بسیار زیبایی ست مسیر خاکی تقریبا طولانی دارد
27,mohammad yari,5.0,همیشه اب سرد از دل کوه,همیشه اب سرد از دل کوه
28,Ali heidari,4.0,چشمه مایک یک مکان گردشگری زیبا و با صفاست و به گردشگران عزیز پیشنهاد می‌شود,چشمه مایک یک مکان گردشگری زیبا و با صفاست و به گردشگران عزیز پیشنهاد می‌شود
29,ali,5.0,آبشار زیبا و دیدنی و محیطی جهت استراحت. امکانات رفاهی خاصی نداره,آبشار زیبا و دیدنی و محیطی جهت استراحت امکانات رفاهی خاصی نداره
30,Atefeh Chatraei,5.0,بسیار زیبا و باصفا بود،فقط یه ایرادی داشت که سکوها هزینه جداگانه از ورودی داشتند.ما نوروز ۱۴۰۲ رفتیم، ۲۰۰۰۰ تومان ورودی و ۴۰۰۰۰ تومان هزینه سکو پرداخت کردیم.,بسیار زیبا و باصفا بود فقط یه ایرادی داشت که سکوها هزینه جداگانه از ورودی داشتند ما نوروز 1402 رفتیم 20 تومان ورودی و 40 تومان هزینه سکو پرداخت کردیم 
31,jafar jaferi,5.0,محتوای کتیبه‌ها سه کتیبه‌ای که در منطقه پیرغار وجود دارند، از زبان دو تن از شخصیت‌ها و رهبران تاثیرگذار در جنبش مشروطه‌خواهی یعنی سردار اسعد و سردار ظفر نوشته شده‌اند. محتوای کتیبه اول که به دستور سردار ظفر و از زبان وی نوشته شده است، ابتدا اشاره‌ای به اوضاع ایران در دوره مظفرالدین شاه و تقاضای مردم بر حکومت مشروطه و امضای حکم مشروطه توسط مظفرالدین شاه می‌کند. سپس سردار ظفر که گوینده این متن است، اشاره به زمانی می‌کند که خودش و سردار اسعد در خارج از ایران حضور دارد که همزمان با استبداد محمدعلی شاه و تقاضای محمدعلی شاه از مردم بختیاری برای حمایت، وی توضیح می‌دهد که رهبران بختیاری از خارج از کشور برای مقابله با استبداد به مردم پیوستند. در بخش اول کتیبه به اوضاع کلی ایران اشاره شده و گفته شده که تبریز هرگز ساکت نشد و مردم رشت نیز به قیام پیوستند. ادامه متن کتیبه شامل شرح لشکرکشی سردار اسعد بختیاری به تهران و نقش طوایف بختیاری در فتح تهران است. سنگ نوشته مشروطیت پیر غار شرح فعالیت‌های مجاهدین چهارمحال و بختیاری برای مبارزه با استبداد محمدعلی شاهی است,محتوای کتیبه‌ها سه کتیبه‌ای که در منطقه پیرغار وجود دارند از زبان دو تن از شخصیت‌ها و رهبران تاثیرگذار در جنبش مشروطه‌خواهی یعنی سردار اسعد و سردار ظفر نوشته شده‌اند محتوای کتیبه اول که به دستور سردار ظفر و از زبان وی نوشته شده است ابتدا اشاره‌ای به اوضاع ایران در دوره مظفرالدین شاه و تقاضای مردم بر حکومت مشروطه و امضای حکم مشروطه توسط مظفرالدین شاه می‌کند سپس سردار ظفر که گوینده این متن است اشاره به زمانی می‌کند که خودش و سردار اسعد در خارج از ایران حضور دارد که همزمان با استبداد محمدعلی شاه و تقاضای محمدعلی شاه از مردم بختیاری برای حمایت وی توضیح می‌دهد که رهبران بختیاری از خارج از کشور برای مقابله با استبداد به مردم پیوستند در بخش اول کتیبه به اوضاع کلی ایران اشاره شده و گفته شده که تبریز هرگز ساکت نشد و مردم رشت نیز به قیام پیوستند ادامه متن کتیبه شامل شرح لشکرکشی سردار اسعد بختیاری به تهران و نقش طوایف بختیاری در فتح تهران است سنگ نوشته مشروطیت پیر غار شرح فعالیت‌های مجاهدین چهارمحال و بختیاری برای مبارزه با استبداد محمدعلی شاهی است
