Id,title,star,review,Cleaned,label
10,mohammad,4,سلامی زیبایی گل بهار خدمت دوستان سحر خیزم خواستم عکس 33پل باهاتون اشتراک بزارم امید وارم خوشتون بیاد,سلامی زیبایی گل بهار خدمت دوستان سحر خیزم خواستم عکس 33پل باهاتون اشتراک بزارم امید وارم خوشتون بیاد,1
11,سید محمد حسینی,3,تاریخی واقعا محشریه بینظیره اگه میشد رودخانه آب باشه میشه اصفهان زاینده رود میمیره کاش بچه سطح فرهنگ برسن مزاحم دختر مردم اقل توی آثار تاریخی نشن,تاریخی واقعا محشریه بینظیره اگه میشد رودخانه آب باشه میشه اصفهان زاینده رود میمیره کاش بچه سطح فرهنگ برسن مزاحم دختر مردم اقل توی آثار تاریخی نشن,0
12,hiwa dehghan,4,سی‌وسه‌پل پل الله‌وردی‌خان پلی 33 دهانه 295 14 زیرنظر الله‌وردی‌خان اوندیلادزه معماری استاد حسین اصفهانی زاینده‌رود شهر اصفهان همزمان حکومت شاه عباس صفوی ساخته برگزاری مراسم جشن آب‌پاشان مراسم خاج‌شویان ارامنهٔ اصفهان دورهٔ صفویه بوده‌است اندیشهٔ بنای سی‌وسه‌پل 1008 هجری قمری دوازدهمین پادشاهی شاه عباس 1011 هجری قمری الله‌وردی‌خان اوندیلادزه گرجی سردار مشهور مامور اتمام ساختمان پل گردید سفرنامه‌های سیاحان اروپایی دوران برگزاری جشن اشاره‌هایی شده‌است جشن 13 تیرماه برگزار مردم پاشیدن آب گلاب یک‌دیگر مراسم می‌کرده‌اند ارامنهٔ جلفای اصفهان مراسم خاج شویان محدوده پل برگزار می‌کرده‌اند پل شاه‌کارهای معماری پل‌سازی ایران زیبایی عظمت منحصر برخودار,سی‌وسه‌پل پل الله‌وردی‌خان پلی 33 دهانه 295 14 زیرنظر الله‌وردی‌خان اوندیلادزه معماری استاد حسین اصفهانی زاینده‌رود شهر اصفهان همزمان حکومت شاه عباس صفوی ساخته برگزاری مراسم جشن آب‌پاشان مراسم خاج‌شویان ارامنهٔ اصفهان دورهٔ صفویه بوده‌است اندیشهٔ بنای سی‌وسه‌پل 1008 هجری قمری دوازدهمین پادشاهی شاه عباس 1011 هجری قمری الله‌وردی‌خان اوندیلادزه گرجی سردار مشهور مامور اتمام ساختمان پل گردید سفرنامه‌های سیاحان اروپایی دوران برگزاری جشن اشاره‌هایی شده‌است جشن 13 تیرماه برگزار مردم پاشیدن آب گلاب یک‌دیگر مراسم می‌کرده‌اند ارامنهٔ جلفای اصفهان مراسم خاج شویان محدوده پل برگزار می‌کرده‌اند پل شاه‌کارهای معماری پل‌سازی ایران زیبایی عظمت منحصر برخودار,1
13,bilvak,2,یه زمانی اینجوری الان مث بیابون خشک ست ست,یه زمانی اینجوری الان مث بیابون خشک ست ست,-1
14,sobhan,3,پل اصفهان زیباست کاش آب پل میبود,پل اصفهان زیباست کاش آب پل میبود,0
15,Amirhossein Bahreininejad,4,زیبا آرام,زیبا آرام,1
16,Ali heidari,4,سی‌وسه‌پل پل الله‌وردی خان پل‌های تاریخی استان اصفهان 295 پل دستور الله‌وردی خان اوندیلادزه زاینده‌رود ساخته سی‌وسه‌ پل آثار تاریخی استان اصفهان شهر زیبا پل تاریخی‌اش می‌شناسیم اگرچه خشک آب زاینده‌رود سی‌وسه‌پل هوای گذشته پل به‌عنوان نمادهای شهر اصفهان شناخته پل پل الله‌وردی خان عصر صفوی الله‌وردی خان اوندیلادزه زاینده ساخته پل 33 دهانه 295 14 منعکس تصویر پل آب زیبایی دوچندان,سی‌وسه‌پل پل الله‌وردی خان پل‌های تاریخی استان اصفهان 295 پل دستور الله‌وردی خان اوندیلادزه زاینده‌رود ساخته سی‌وسه‌ پل آثار تاریخی استان اصفهان شهر زیبا پل تاریخی‌اش می‌شناسیم اگرچه خشک آب زاینده‌رود سی‌وسه‌پل هوای گذشته پل به‌عنوان نمادهای شهر اصفهان شناخته پل پل الله‌وردی خان عصر صفوی الله‌وردی خان اوندیلادزه زاینده ساخته پل 33 دهانه 295 14 منعکس تصویر پل آب زیبایی دوچندان,1
17,Farshid ,4,سی‌وسه‌پل پل الله‌وردی‌خان پلی 33 دهانه 295 14 زیرنظر الله‌وردی‌خان اوندیلادزه معماری استاد حسین اصفهانی زاینده‌رود شهر اصفهان همزمان حکومت شاه عباس صفوی ساخته برگزاری مراسم جشن آب‌پاشان مراسم خاج‌شویان ارامنهٔ اصفهان دورهٔ صفویه بوده‌است,سی‌وسه‌پل پل الله‌وردی‌خان پلی 33 دهانه 295 14 زیرنظر الله‌وردی‌خان اوندیلادزه معماری استاد حسین اصفهانی زاینده‌رود شهر اصفهان همزمان حکومت شاه عباس صفوی ساخته برگزاری مراسم جشن آب‌پاشان مراسم خاج‌شویان ارامنهٔ اصفهان دورهٔ صفویه بوده‌است,1
18,Sahand Abr,3,ه پل قدیمی صفویان رودخانه زاینده رود الان ممکنه دشت زاینده رود باشه وضعیت آب پل معماری خاصی نداره پل خاجو زیباتر هست پل گذر مختلف وصل خیابان چهارباغ هست مکانی هست آدمها ظاهر سلیقه مختلف احوال مختلف تونید اونجا تماشا پل عابرین زیبان اصفهانی پل برام عادی باشه,ه پل قدیمی صفویان رودخانه زاینده رود الان ممکنه دشت زاینده رود باشه وضعیت آب پل معماری خاصی نداره پل خاجو زیباتر هست پل گذر مختلف وصل خیابان چهارباغ هست مکانی هست آدمها ظاهر سلیقه مختلف احوال مختلف تونید اونجا تماشا پل عابرین زیبان اصفهانی پل برام عادی باشه,0
19,Ali Yazdani,4,پل الله وردی خان معروف پل دهنه تقسیم آب الان کشت نوروزه شرق اصفهان مهمان شهرمان آمدن زیبایی بصری پل زیبای تاریخی لذت میبرند,پل الله وردی خان معروف پل دهنه تقسیم آب الان کشت نوروزه شرق اصفهان مهمان شهرمان آمدن زیبایی بصری پل زیبای تاریخی لذت میبرند,1
20,Mohammadreza Moradi,5,سی‌وسه‌پل پل الله‌وردی‌خان پلی 33 دهانه 295 14 زیرنظر الله‌وردی‌خان اوندیلادزه معماری استاد حسین اصفهانیبر زاینده‌رود شهر اصفهان همزمان حکومت شاه عباس صفوی ساخته برگزاری مراسم جشن آب‌پاشان مراسم خاج‌شویان ارامنهٔ اصفهان دورهٔ صفویه بوده‌است,سی‌وسه‌پل پل الله‌وردی‌خان پلی 33 دهانه 295 14 زیرنظر الله‌وردی‌خان اوندیلادزه معماری استاد حسین اصفهانیبر زاینده‌رود شهر اصفهان همزمان حکومت شاه عباس صفوی ساخته برگزاری مراسم جشن آب‌پاشان مراسم خاج‌شویان ارامنهٔ اصفهان دورهٔ صفویه بوده‌است,1
21,arash,5,جاهایی تونید اصفهان اینجاست مخصوصا شبا خوشگل قدم زدنیه,جاهایی تونید اصفهان اینجاست مخصوصا شبا خوشگل قدم زدنیه,1
22,Morteza Maghzi,5,زیباترین نقاط اصفهان مخصوصا نشینی,زیباترین نقاط اصفهان مخصوصا نشینی,1
23,Soheil Moradi,2,پل اصفهان اندازه ی شهرت نمیتوان اضافه العاده زیبا منفی زاینده رود تدبیری سدهای متعدد خشک,پل اصفهان اندازه ی شهرت نمیتوان اضافه العاده زیبا منفی زاینده رود تدبیری سدهای متعدد خشک,-1
24,Sima Shahbazi,4,ارامش باصفا,ارامش باصفا,1
25,Reza A,1,واقعا ناراحت پل زیبا ورودخانه زاینده رود خشک خشک قطره آب,واقعا ناراحت پل زیبا ورودخانه زاینده رود خشک خشک قطره آب,-1
26,Seyed Mosavi,3,چشمه زیبایی ست مسیر خاکی تقریبا طولانی,چشمه زیبایی ست مسیر خاکی تقریبا طولانی,0
27,mohammad yari,5,اب سرد دل کوه,اب سرد دل کوه,1
28,Ali heidari,4,چشمه مایک مکان گردشگری زیبا صفاست گردشگران عزیز پیشنهاد,چشمه مایک مکان گردشگری زیبا صفاست گردشگران عزیز پیشنهاد,1
29,ali,5,آبشار زیبا دیدنی محیطی جهت استراحت امکانات رفاهی خاصی نداره,آبشار زیبا دیدنی محیطی جهت استراحت امکانات رفاهی خاصی نداره,1
30,Atefeh Chatraei,5,زیبا باصفا یه ایرادی سکوها هزینه جداگانه ورودی نوروز 1402 رفتیم 20 تومان ورودی 40 تومان هزینه سکو پرداخت کردیم,زیبا باصفا یه ایرادی سکوها هزینه جداگانه ورودی نوروز 1402 رفتیم 20 تومان ورودی 40 تومان هزینه سکو پرداخت کردیم,1
31,jafar jaferi,5,محتوای کتیبه‌ها کتیبه‌ای منطقه پیرغار زبان تن شخصیت‌ها رهبران تاثیرگذار جنبش مشروطه‌خواهی سردار اسعد سردار ظفر نوشته شده‌اند محتوای کتیبه دستور سردار ظفر زبان نوشته اشاره‌ای اوضاع ایران دوره مظفرالدین شاه تقاضای مردم حکومت مشروطه امضای حکم مشروطه مظفرالدین شاه سردار ظفر گوینده متن زمانی سردار اسعد خارج ایران حضور همزمان استبداد محمدعلی شاه تقاضای محمدعلی شاه مردم بختیاری حمایت توضیح رهبران بختیاری خارج کشور مقابله استبداد مردم پیوستند کتیبه اوضاع ایران تبریز هرگز ساکت نشد مردم رشت قیام پیوستند متن کتیبه شرح لشکرکشی سردار اسعد بختیاری تهران نقش طوایف بختیاری فتح تهران سنگ نوشته مشروطیت پیر غار شرح فعالیت‌های مجاهدین چهارمحال بختیاری مبارزه استبداد محمدعلی شاهی,محتوای کتیبه‌ها کتیبه‌ای منطقه پیرغار زبان تن شخصیت‌ها رهبران تاثیرگذار جنبش مشروطه‌خواهی سردار اسعد سردار ظفر نوشته شده‌اند محتوای کتیبه دستور سردار ظفر زبان نوشته اشاره‌ای اوضاع ایران دوره مظفرالدین شاه تقاضای مردم حکومت مشروطه امضای حکم مشروطه مظفرالدین شاه سردار ظفر گوینده متن زمانی سردار اسعد خارج ایران حضور همزمان استبداد محمدعلی شاه تقاضای محمدعلی شاه مردم بختیاری حمایت توضیح رهبران بختیاری خارج کشور مقابله استبداد مردم پیوستند کتیبه اوضاع ایران تبریز هرگز ساکت نشد مردم رشت قیام پیوستند متن کتیبه شرح لشکرکشی سردار اسعد بختیاری تهران نقش طوایف بختیاری فتح تهران سنگ نوشته مشروطیت پیر غار شرح فعالیت‌های مجاهدین چهارمحال بختیاری مبارزه استبداد محمدعلی شاهی,1
32,Amin Tabatabaee,4,منطقه آبشار پیر غار شهر فارسان نزدیکی شهرکرد استان چهارمحال بختیاری واقع منطقه ییلاقی آبشار مرتفع کوهی صخره‌ای پایین می‌ریزد کوه‌های مرتفعی باغات انبوهی پیرامون خلاف جاذبه‌های طبیعی شناخته شده‌ی استان ورودیه بدهید خبری دریافت ورودیه بازدید رایگان محوطه کتیبه بزرگان بختیاری یادگار مانده خودنمایی مسیر دسترسی آبشار امتداد خیابان منتهی باغ مردم اجاره چشم می‌خورند پارکینگ محل سرویس بهداشتی عمومی متناسب بازدیدکنندگان,منطقه آبشار پیر غار شهر فارسان نزدیکی شهرکرد استان چهارمحال بختیاری واقع منطقه ییلاقی آبشار مرتفع کوهی صخره‌ای پایین می‌ریزد کوه‌های مرتفعی باغات انبوهی پیرامون خلاف جاذبه‌های طبیعی شناخته شده‌ی استان ورودیه بدهید خبری دریافت ورودیه بازدید رایگان محوطه کتیبه بزرگان بختیاری یادگار مانده خودنمایی مسیر دسترسی آبشار امتداد خیابان منتهی باغ مردم اجاره چشم می‌خورند پارکینگ محل سرویس بهداشتی عمومی متناسب بازدیدکنندگان,1
33,Abbas,2,چشمه العاده هست خوب رسیدگی,چشمه العاده هست خوب رسیدگی,-1
34,Hesam,5,پیرغار شهرکرد جاذبه‌ گردشگری بی‌نظیر استان چهارمحال بختیاری مجموعه‌ کامل جاذبه‌های تاریخی طبیعی کتیبه مشروطه دستور سردار اسعد بختیاری تخته سنگی رشته کوه زاگرس حک متن خلاصه‌ای واقعه مشروطیت تاثیر سرداران قهرمانان بختیاری واقعه ملی شرح,پیرغار شهرکرد جاذبه‌ گردشگری بی‌نظیر استان چهارمحال بختیاری مجموعه‌ کامل جاذبه‌های تاریخی طبیعی کتیبه مشروطه دستور سردار اسعد بختیاری تخته سنگی رشته کوه زاگرس حک متن خلاصه‌ای واقعه مشروطیت تاثیر سرداران قهرمانان بختیاری واقعه ملی شرح,1
35,بیژن  سلمانپور,3,منطقه دیدنی برگرفته روستای زیبا ده چشمه آبشار زیبا آلاچیق چشمه کتیبه ایل بختیاری سردار اسعد بختیاری اونجایی آبشار بکر میشد مسیر مای آبشار یک‌مسیر تعبیه میکردن کتیبه دستکاری سقف پلیتی زشت بد نما پوشش,منطقه دیدنی برگرفته روستای زیبا ده چشمه آبشار زیبا آلاچیق چشمه کتیبه ایل بختیاری سردار اسعد بختیاری اونجایی آبشار بکر میشد مسیر مای آبشار یک‌مسیر تعبیه میکردن کتیبه دستکاری سقف پلیتی زشت بد نما پوشش,0
36,ram ses,5,درجه اصلا پیشنهاد میشه هفته بریم,درجه اصلا پیشنهاد میشه هفته بریم,1
37,S. Amiri,3,تفریحگاه خانوادگی سنگ نوشته چندان باستانی کوه آبشار غار چشمه رودخانه تونل دستکند قدیمی داره پارکینگ آلاچیق سفره خونه غرفه فروش هله هوله محصولات محلی هست پارکینگ پولی نگرفتند عجیب دیدم واسه آلاچیقها پول میگرفتند قبض میدادند خلاصه اگه نظافتش رسیدگی میشد مردم مسوولین ستاره میگرفت شلوغ کثیف,تفریحگاه خانوادگی سنگ نوشته چندان باستانی کوه آبشار غار چشمه رودخانه تونل دستکند قدیمی داره پارکینگ آلاچیق سفره خونه غرفه فروش هله هوله محصولات محلی هست پارکینگ پولی نگرفتند عجیب دیدم واسه آلاچیقها پول میگرفتند قبض میدادند خلاصه اگه نظافتش رسیدگی میشد مردم مسوولین ستاره میگرفت شلوغ کثیف,0
38,حسین وطنی خوزانی,1,شهریور اونجا رفتیم خب شهرکرد هست پارکینگ داره ساعتی 500 تومن میگیرن نشستن فضای چندان منظم مسیر آب 10 هزارتومن میگیرن سوپر مارکت تکمیلی داره اجناس تعدادی غرفه فروش خوردنی وسایل تزیینی خب نظافت افتضاح کثافت کاری انسانی درخت دیده میشه آبی اشغال مواد غذایی تزیین خب درخت بلندی داره سایه ی خب هواشم خنک دلچسب هست خب هزینه نشستن میگیرن هست نظافت هزینه داره نمیدونم عیب اونا مردم آب قدری توش اشغال نمیدونستی کجا بشینی ظرف بشوری دلت راضی بشه اگه این‌چیزها براتون یه عصر جایه خوبی هست اگه رفتید نظافت رعایت معرفت مرام انسانیتون نمایش بذارید هرجا میرید اضافه غذاهای باقی مونده ظرفا بردارید بریزید سطل آشغال ببرید توی آب بشورید ته مانده غذاهاتون کف جوب گند نکشه سفر برزُک پیشنهاد میکنم جایه خوبیه,شهریور اونجا رفتیم خب شهرکرد هست پارکینگ داره ساعتی 500 تومن میگیرن نشستن فضای چندان منظم مسیر آب 10 هزارتومن میگیرن سوپر مارکت تکمیلی داره اجناس تعدادی غرفه فروش خوردنی وسایل تزیینی خب نظافت افتضاح کثافت کاری انسانی درخت دیده میشه آبی اشغال مواد غذایی تزیین خب درخت بلندی داره سایه ی خب هواشم خنک دلچسب هست خب هزینه نشستن میگیرن هست نظافت هزینه داره نمیدونم عیب اونا مردم آب قدری توش اشغال نمیدونستی کجا بشینی ظرف بشوری دلت راضی بشه اگه این‌چیزها براتون یه عصر جایه خوبی هست اگه رفتید نظافت رعایت معرفت مرام انسانیتون نمایش بذارید هرجا میرید اضافه غذاهای باقی مونده ظرفا بردارید بریزید سطل آشغال ببرید توی آب بشورید ته مانده غذاهاتون کف جوب گند نکشه سفر برزُک پیشنهاد میکنم جایه خوبیه,-1
39,alireza At,5,مکانی زیبا آبی سرد میشه زود اونجا مقداری پیاده قسمت درختش شبانه روز میشه اونحا گذروند سرد میشه احتیاج چادر جهت آسایش بنظر میاد,مکانی زیبا آبی سرد میشه زود اونجا مقداری پیاده قسمت درختش شبانه روز میشه اونحا گذروند سرد میشه احتیاج چادر جهت آسایش بنظر میاد,1
40,ebi as,4,اواسط خرداد 97 14 رفتم پیرغار حیف آبشارهاش خشک زیرساختی همت مسیولین شهروندان داره ویژگیهاش هوای خنک فصل گرما دسترسی آسفالته بوسیله تابلوها سرویس بهداشتی تمیز پارکینگ اون موقع 2هزار ورودی بعدش ساعتی 500 تومان رستوران سنتی محوطه یه دنج آلاچیق داره سوییت ویلا اجاره هست,اواسط خرداد 97 14 رفتم پیرغار حیف آبشارهاش خشک زیرساختی همت مسیولین شهروندان داره ویژگیهاش هوای خنک فصل گرما دسترسی آسفالته بوسیله تابلوها سرویس بهداشتی تمیز پارکینگ اون موقع 2هزار ورودی بعدش ساعتی 500 تومان رستوران سنتی محوطه یه دنج آلاچیق داره سوییت ویلا اجاره هست,1
41,محمد همت ابادی,5,خاطر زیبایی ومردم خونگرمش واینکه آب زلال وسردی داره تابستون میده,خاطر زیبایی ومردم خونگرمش واینکه آب زلال وسردی داره تابستون میده,1
42,Arsa,5,هرچه زیبایی منطقه فصل بهار بگم گفتم,هرچه زیبایی منطقه فصل بهار بگم گفتم,1
43,محمد جهانگیری,1,قشنگی هست آدم تخم حرام افتاد وجه اونجا سفر نکنید ورودی 16 تومن گرفتن دقیق اومدیم آب بشینیم یاور اومد گفتن اون پول کرایه ماشین emoji الان 40 ازمون زور چی گفتیم الان میریم اینا کارکان ادب حتا بلد نیستن درست مشتری رفتار کن کارت بدبخت سوزندن پول موندم خدا ازشون نگذار,قشنگی هست آدم تخم حرام افتاد وجه اونجا سفر نکنید ورودی 16 تومن گرفتن دقیق اومدیم آب بشینیم یاور اومد گفتن اون پول کرایه ماشین emoji الان 40 ازمون زور چی گفتیم الان میریم اینا کارکان ادب حتا بلد نیستن درست مشتری رفتار کن کارت بدبخت سوزندن پول موندم خدا ازشون نگذار,-1
44,kohyar,5,واقعا زیبا دیدنی هست هرجای مکان دیدنی رفتم بهم خوش گذشت,واقعا زیبا دیدنی هست هرجای مکان دیدنی رفتم بهم خوش گذشت,1
45,عباس گرامی,4,خوبی هست تفریح خانوادگی آواخر هفته ایام تعطیل شلوغ میشه ظرفیت داره قابلیت ظرفیت سکو فضاهی داره امیدوارم بتونه روزمثل سیاسرد بروجن شه,خوبی هست تفریح خانوادگی آواخر هفته ایام تعطیل شلوغ میشه ظرفیت داره قابلیت ظرفیت سکو فضاهی داره امیدوارم بتونه روزمثل سیاسرد بروجن شه,1
46,hosein,4,مکان سر سبز جنگلی دوست داشتنی داری چشمه غار بازارچه محلی لژ خانوادگی,مکان سر سبز جنگلی دوست داشتنی داری چشمه غار بازارچه محلی لژ خانوادگی,1
